,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
18,12530690,48948,ACC20DEC1180CE,ACC,0.0,2020-12-31,1180.0,0.05,500,CE,NFO-OPT,NFO
19,12530946,48949,ACC20DEC1180PE,ACC,0.0,2020-12-31,1180.0,0.05,500,PE,NFO-OPT,NFO
20,12531202,48950,ACC20DEC1200CE,ACC,0.0,2020-12-31,1200.0,0.05,500,CE,NFO-OPT,NFO
21,12533506,48959,ACC20DEC1200PE,ACC,0.0,2020-12-31,1200.0,0.05,500,PE,NFO-OPT,NFO
22,12541698,48991,ACC20DEC1220CE,ACC,0.0,2020-12-31,1220.0,0.05,500,CE,NFO-OPT,NFO
23,12554498,49041,ACC20DEC1220PE,ACC,0.0,2020-12-31,1220.0,0.05,500,PE,NFO-OPT,NFO
24,12554754,49042,ACC20DEC1240CE,ACC,0.0,2020-12-31,1240.0,0.05,500,CE,NFO-OPT,NFO
25,12558594,49057,ACC20DEC1240PE,ACC,0.0,2020-12-31,1240.0,0.05,500,PE,NFO-OPT,NFO
26,12558850,49058,ACC20DEC1260CE,ACC,0.0,2020-12-31,1260.0,0.05,500,CE,NFO-OPT,NFO
27,12559106,49059,ACC20DEC1260PE,ACC,0.0,2020-12-31,1260.0,0.05,500,PE,NFO-OPT,NFO
28,12568322,49095,ACC20DEC1280CE,ACC,0.0,2020-12-31,1280.0,0.05,500,CE,NFO-OPT,NFO
29,12568578,49096,ACC20DEC1280PE,ACC,0.0,2020-12-31,1280.0,0.05,500,PE,NFO-OPT,NFO
30,12574722,49120,ACC20DEC1300CE,ACC,0.0,2020-12-31,1300.0,0.05,500,CE,NFO-OPT,NFO
31,12574978,49121,ACC20DEC1300PE,ACC,0.0,2020-12-31,1300.0,0.05,500,PE,NFO-OPT,NFO
32,12575234,49122,ACC20DEC1320CE,ACC,0.0,2020-12-31,1320.0,0.05,500,CE,NFO-OPT,NFO
33,12586242,49165,ACC20DEC1320PE,ACC,0.0,2020-12-31,1320.0,0.05,500,PE,NFO-OPT,NFO
34,12588290,49173,ACC20DEC1340CE,ACC,0.0,2020-12-31,1340.0,0.05,500,CE,NFO-OPT,NFO
35,12590594,49182,ACC20DEC1340PE,ACC,0.0,2020-12-31,1340.0,0.05,500,PE,NFO-OPT,NFO
36,12594178,49196,ACC20DEC1360CE,ACC,0.0,2020-12-31,1360.0,0.05,500,CE,NFO-OPT,NFO
37,12597506,49209,ACC20DEC1360PE,ACC,0.0,2020-12-31,1360.0,0.05,500,PE,NFO-OPT,NFO
38,12599042,49215,ACC20DEC1380CE,ACC,0.0,2020-12-31,1380.0,0.05,500,CE,NFO-OPT,NFO
39,12599298,49216,ACC20DEC1380PE,ACC,0.0,2020-12-31,1380.0,0.05,500,PE,NFO-OPT,NFO
40,12599554,49217,ACC20DEC1400CE,ACC,0.0,2020-12-31,1400.0,0.05,500,CE,NFO-OPT,NFO
41,12605954,49242,ACC20DEC1400PE,ACC,0.0,2020-12-31,1400.0,0.05,500,PE,NFO-OPT,NFO
42,12607234,49247,ACC20DEC1420CE,ACC,0.0,2020-12-31,1420.0,0.05,500,CE,NFO-OPT,NFO
43,12615170,49278,ACC20DEC1420PE,ACC,0.0,2020-12-31,1420.0,0.05,500,PE,NFO-OPT,NFO
44,12615426,49279,ACC20DEC1440CE,ACC,0.0,2020-12-31,1440.0,0.05,500,CE,NFO-OPT,NFO
45,12616706,49284,ACC20DEC1440PE,ACC,0.0,2020-12-31,1440.0,0.05,500,PE,NFO-OPT,NFO
46,12626178,49321,ACC20DEC1460CE,ACC,0.0,2020-12-31,1460.0,0.05,500,CE,NFO-OPT,NFO
47,12632834,49347,ACC20DEC1460PE,ACC,0.0,2020-12-31,1460.0,0.05,500,PE,NFO-OPT,NFO
48,12633090,49348,ACC20DEC1480CE,ACC,0.0,2020-12-31,1480.0,0.05,500,CE,NFO-OPT,NFO
49,12634882,49355,ACC20DEC1480PE,ACC,0.0,2020-12-31,1480.0,0.05,500,PE,NFO-OPT,NFO
50,12635138,49356,ACC20DEC1500CE,ACC,0.0,2020-12-31,1500.0,0.05,500,CE,NFO-OPT,NFO
51,12637442,49365,ACC20DEC1500PE,ACC,0.0,2020-12-31,1500.0,0.05,500,PE,NFO-OPT,NFO
52,12639746,49374,ACC20DEC1520CE,ACC,0.0,2020-12-31,1520.0,0.05,500,CE,NFO-OPT,NFO
53,12640002,49375,ACC20DEC1520PE,ACC,0.0,2020-12-31,1520.0,0.05,500,PE,NFO-OPT,NFO
54,12643330,49388,ACC20DEC1540CE,ACC,0.0,2020-12-31,1540.0,0.05,500,CE,NFO-OPT,NFO
55,12646146,49399,ACC20DEC1540PE,ACC,0.0,2020-12-31,1540.0,0.05,500,PE,NFO-OPT,NFO
56,12647426,49404,ACC20DEC1560CE,ACC,0.0,2020-12-31,1560.0,0.05,500,CE,NFO-OPT,NFO
57,12647682,49405,ACC20DEC1560PE,ACC,0.0,2020-12-31,1560.0,0.05,500,PE,NFO-OPT,NFO
58,12648450,49408,ACC20DEC1580CE,ACC,0.0,2020-12-31,1580.0,0.05,500,CE,NFO-OPT,NFO
59,12648706,49409,ACC20DEC1580PE,ACC,0.0,2020-12-31,1580.0,0.05,500,PE,NFO-OPT,NFO
60,12664834,49472,ACC20DEC1600CE,ACC,0.0,2020-12-31,1600.0,0.05,500,CE,NFO-OPT,NFO
61,12665090,49473,ACC20DEC1600PE,ACC,0.0,2020-12-31,1600.0,0.05,500,PE,NFO-OPT,NFO
62,12670722,49495,ACC20DEC1620CE,ACC,0.0,2020-12-31,1620.0,0.05,500,CE,NFO-OPT,NFO
63,12675330,49513,ACC20DEC1620PE,ACC,0.0,2020-12-31,1620.0,0.05,500,PE,NFO-OPT,NFO
64,12675586,49514,ACC20DEC1640CE,ACC,0.0,2020-12-31,1640.0,0.05,500,CE,NFO-OPT,NFO
65,12685058,49551,ACC20DEC1640PE,ACC,0.0,2020-12-31,1640.0,0.05,500,PE,NFO-OPT,NFO
66,12685314,49552,ACC20DEC1660CE,ACC,0.0,2020-12-31,1660.0,0.05,500,CE,NFO-OPT,NFO
67,12686850,49558,ACC20DEC1660PE,ACC,0.0,2020-12-31,1660.0,0.05,500,PE,NFO-OPT,NFO
68,12687106,49559,ACC20DEC1680CE,ACC,0.0,2020-12-31,1680.0,0.05,500,CE,NFO-OPT,NFO
69,12687362,49560,ACC20DEC1680PE,ACC,0.0,2020-12-31,1680.0,0.05,500,PE,NFO-OPT,NFO
70,12687618,49561,ACC20DEC1700CE,ACC,0.0,2020-12-31,1700.0,0.05,500,CE,NFO-OPT,NFO
71,12699394,49607,ACC20DEC1700PE,ACC,0.0,2020-12-31,1700.0,0.05,500,PE,NFO-OPT,NFO
72,12709890,49648,ACC20DEC1720CE,ACC,0.0,2020-12-31,1720.0,0.05,500,CE,NFO-OPT,NFO
73,12712962,49660,ACC20DEC1720PE,ACC,0.0,2020-12-31,1720.0,0.05,500,PE,NFO-OPT,NFO
74,12713218,49661,ACC20DEC1740CE,ACC,0.0,2020-12-31,1740.0,0.05,500,CE,NFO-OPT,NFO
75,12713474,49662,ACC20DEC1740PE,ACC,0.0,2020-12-31,1740.0,0.05,500,PE,NFO-OPT,NFO
76,12713730,49663,ACC20DEC1760CE,ACC,0.0,2020-12-31,1760.0,0.05,500,CE,NFO-OPT,NFO
77,12713986,49664,ACC20DEC1760PE,ACC,0.0,2020-12-31,1760.0,0.05,500,PE,NFO-OPT,NFO
78,12714242,49665,ACC20DEC1780CE,ACC,0.0,2020-12-31,1780.0,0.05,500,CE,NFO-OPT,NFO
79,12715010,49668,ACC20DEC1780PE,ACC,0.0,2020-12-31,1780.0,0.05,500,PE,NFO-OPT,NFO
80,12715266,49669,ACC20DEC1800CE,ACC,0.0,2020-12-31,1800.0,0.05,500,CE,NFO-OPT,NFO
81,12715522,49670,ACC20DEC1800PE,ACC,0.0,2020-12-31,1800.0,0.05,500,PE,NFO-OPT,NFO
82,12715778,49671,ACC20DEC1820CE,ACC,0.0,2020-12-31,1820.0,0.05,500,CE,NFO-OPT,NFO
83,12716034,49672,ACC20DEC1820PE,ACC,0.0,2020-12-31,1820.0,0.05,500,PE,NFO-OPT,NFO
84,12716546,49674,ACC20DEC1840CE,ACC,0.0,2020-12-31,1840.0,0.05,500,CE,NFO-OPT,NFO
85,12717314,49677,ACC20DEC1840PE,ACC,0.0,2020-12-31,1840.0,0.05,500,PE,NFO-OPT,NFO
86,12717570,49678,ACC20DEC1860CE,ACC,0.0,2020-12-31,1860.0,0.05,500,CE,NFO-OPT,NFO
87,12717826,49679,ACC20DEC1860PE,ACC,0.0,2020-12-31,1860.0,0.05,500,PE,NFO-OPT,NFO
88,8972546,35049,ACC20DEC1880CE,ACC,0.0,2020-12-31,1880.0,0.05,500,CE,NFO-OPT,NFO
89,8974850,35058,ACC20DEC1880PE,ACC,0.0,2020-12-31,1880.0,0.05,500,PE,NFO-OPT,NFO
90,8975106,35059,ACC20DEC1900CE,ACC,0.0,2020-12-31,1900.0,0.05,500,CE,NFO-OPT,NFO
91,8975362,35060,ACC20DEC1900PE,ACC,0.0,2020-12-31,1900.0,0.05,500,PE,NFO-OPT,NFO
92,9359618,36561,ACC20DEC1920CE,ACC,0.0,2020-12-31,1920.0,0.05,500,CE,NFO-OPT,NFO
93,9359874,36562,ACC20DEC1920PE,ACC,0.0,2020-12-31,1920.0,0.05,500,PE,NFO-OPT,NFO
94,9361154,36567,ACC20DEC1940CE,ACC,0.0,2020-12-31,1940.0,0.05,500,CE,NFO-OPT,NFO
95,9361410,36568,ACC20DEC1940PE,ACC,0.0,2020-12-31,1940.0,0.05,500,PE,NFO-OPT,NFO
96,10015234,39122,ACC20DEC1960CE,ACC,0.0,2020-12-31,1960.0,0.05,500,CE,NFO-OPT,NFO
97,10015490,39123,ACC20DEC1960PE,ACC,0.0,2020-12-31,1960.0,0.05,500,PE,NFO-OPT,NFO
98,10305538,40256,ACC20DEC1980CE,ACC,0.0,2020-12-31,1980.0,0.05,500,CE,NFO-OPT,NFO
99,10306306,40259,ACC20DEC1980PE,ACC,0.0,2020-12-31,1980.0,0.05,500,PE,NFO-OPT,NFO
100,10613762,41460,ACC20DEC2000CE,ACC,0.0,2020-12-31,2000.0,0.05,500,CE,NFO-OPT,NFO
101,10614018,41461,ACC20DEC2000PE,ACC,0.0,2020-12-31,2000.0,0.05,500,PE,NFO-OPT,NFO
102,10827266,42294,ACC20DEC2020CE,ACC,0.0,2020-12-31,2020.0,0.05,500,CE,NFO-OPT,NFO
103,10827522,42295,ACC20DEC2020PE,ACC,0.0,2020-12-31,2020.0,0.05,500,PE,NFO-OPT,NFO
104,12504066,48844,ACC20DEC960CE,ACC,0.0,2020-12-31,960.0,0.05,500,CE,NFO-OPT,NFO
105,12504322,48845,ACC20DEC960PE,ACC,0.0,2020-12-31,960.0,0.05,500,PE,NFO-OPT,NFO
106,12504578,48846,ACC20DEC980CE,ACC,0.0,2020-12-31,980.0,0.05,500,CE,NFO-OPT,NFO
107,12504834,48847,ACC20DEC980PE,ACC,0.0,2020-12-31,980.0,0.05,500,PE,NFO-OPT,NFO
108,15047682,58780,ACC21JAN1100CE,ACC,0.0,2021-01-28,1100.0,0.05,500,CE,NFO-OPT,NFO
109,15047938,58781,ACC21JAN1100PE,ACC,0.0,2021-01-28,1100.0,0.05,500,PE,NFO-OPT,NFO
110,15048194,58782,ACC21JAN1120CE,ACC,0.0,2021-01-28,1120.0,0.05,500,CE,NFO-OPT,NFO
111,15048450,58783,ACC21JAN1120PE,ACC,0.0,2021-01-28,1120.0,0.05,500,PE,NFO-OPT,NFO
112,15048706,58784,ACC21JAN1140CE,ACC,0.0,2021-01-28,1140.0,0.05,500,CE,NFO-OPT,NFO
113,15048962,58785,ACC21JAN1140PE,ACC,0.0,2021-01-28,1140.0,0.05,500,PE,NFO-OPT,NFO
114,15049730,58788,ACC21JAN1160CE,ACC,0.0,2021-01-28,1160.0,0.05,500,CE,NFO-OPT,NFO
115,15049986,58789,ACC21JAN1160PE,ACC,0.0,2021-01-28,1160.0,0.05,500,PE,NFO-OPT,NFO
116,15050242,58790,ACC21JAN1180CE,ACC,0.0,2021-01-28,1180.0,0.05,500,CE,NFO-OPT,NFO
117,15050754,58792,ACC21JAN1180PE,ACC,0.0,2021-01-28,1180.0,0.05,500,PE,NFO-OPT,NFO
118,15051778,58796,ACC21JAN1200CE,ACC,0.0,2021-01-28,1200.0,0.05,500,CE,NFO-OPT,NFO
119,15052034,58797,ACC21JAN1200PE,ACC,0.0,2021-01-28,1200.0,0.05,500,PE,NFO-OPT,NFO
120,15052290,58798,ACC21JAN1220CE,ACC,0.0,2021-01-28,1220.0,0.05,500,CE,NFO-OPT,NFO
121,15052546,58799,ACC21JAN1220PE,ACC,0.0,2021-01-28,1220.0,0.05,500,PE,NFO-OPT,NFO
122,15052802,58800,ACC21JAN1240CE,ACC,0.0,2021-01-28,1240.0,0.05,500,CE,NFO-OPT,NFO
123,15053058,58801,ACC21JAN1240PE,ACC,0.0,2021-01-28,1240.0,0.05,500,PE,NFO-OPT,NFO
124,15053314,58802,ACC21JAN1260CE,ACC,0.0,2021-01-28,1260.0,0.05,500,CE,NFO-OPT,NFO
125,15053570,58803,ACC21JAN1260PE,ACC,0.0,2021-01-28,1260.0,0.05,500,PE,NFO-OPT,NFO
126,15053826,58804,ACC21JAN1280CE,ACC,0.0,2021-01-28,1280.0,0.05,500,CE,NFO-OPT,NFO
127,15054082,58805,ACC21JAN1280PE,ACC,0.0,2021-01-28,1280.0,0.05,500,PE,NFO-OPT,NFO
128,15054338,58806,ACC21JAN1300CE,ACC,0.0,2021-01-28,1300.0,0.05,500,CE,NFO-OPT,NFO
129,15054594,58807,ACC21JAN1300PE,ACC,0.0,2021-01-28,1300.0,0.05,500,PE,NFO-OPT,NFO
130,15054850,58808,ACC21JAN1320CE,ACC,0.0,2021-01-28,1320.0,0.05,500,CE,NFO-OPT,NFO
131,15055362,58810,ACC21JAN1320PE,ACC,0.0,2021-01-28,1320.0,0.05,500,PE,NFO-OPT,NFO
132,15055618,58811,ACC21JAN1340CE,ACC,0.0,2021-01-28,1340.0,0.05,500,CE,NFO-OPT,NFO
133,15055874,58812,ACC21JAN1340PE,ACC,0.0,2021-01-28,1340.0,0.05,500,PE,NFO-OPT,NFO
134,15056130,58813,ACC21JAN1360CE,ACC,0.0,2021-01-28,1360.0,0.05,500,CE,NFO-OPT,NFO
135,15056386,58814,ACC21JAN1360PE,ACC,0.0,2021-01-28,1360.0,0.05,500,PE,NFO-OPT,NFO
136,15056642,58815,ACC21JAN1380CE,ACC,0.0,2021-01-28,1380.0,0.05,500,CE,NFO-OPT,NFO
137,15056898,58816,ACC21JAN1380PE,ACC,0.0,2021-01-28,1380.0,0.05,500,PE,NFO-OPT,NFO
138,15057154,58817,ACC21JAN1400CE,ACC,0.0,2021-01-28,1400.0,0.05,500,CE,NFO-OPT,NFO
139,15057410,58818,ACC21JAN1400PE,ACC,0.0,2021-01-28,1400.0,0.05,500,PE,NFO-OPT,NFO
140,15057666,58819,ACC21JAN1420CE,ACC,0.0,2021-01-28,1420.0,0.05,500,CE,NFO-OPT,NFO
141,15057922,58820,ACC21JAN1420PE,ACC,0.0,2021-01-28,1420.0,0.05,500,PE,NFO-OPT,NFO
142,15058178,58821,ACC21JAN1440CE,ACC,0.0,2021-01-28,1440.0,0.05,500,CE,NFO-OPT,NFO
143,15058434,58822,ACC21JAN1440PE,ACC,0.0,2021-01-28,1440.0,0.05,500,PE,NFO-OPT,NFO
144,15058690,58823,ACC21JAN1460CE,ACC,0.0,2021-01-28,1460.0,0.05,500,CE,NFO-OPT,NFO
145,15058946,58824,ACC21JAN1460PE,ACC,0.0,2021-01-28,1460.0,0.05,500,PE,NFO-OPT,NFO
146,15059202,58825,ACC21JAN1480CE,ACC,0.0,2021-01-28,1480.0,0.05,500,CE,NFO-OPT,NFO
147,15059458,58826,ACC21JAN1480PE,ACC,0.0,2021-01-28,1480.0,0.05,500,PE,NFO-OPT,NFO
148,15059714,58827,ACC21JAN1500CE,ACC,0.0,2021-01-28,1500.0,0.05,500,CE,NFO-OPT,NFO
149,15059970,58828,ACC21JAN1500PE,ACC,0.0,2021-01-28,1500.0,0.05,500,PE,NFO-OPT,NFO
150,15060226,58829,ACC21JAN1520CE,ACC,0.0,2021-01-28,1520.0,0.05,500,CE,NFO-OPT,NFO
151,15060482,58830,ACC21JAN1520PE,ACC,0.0,2021-01-28,1520.0,0.05,500,PE,NFO-OPT,NFO
152,15060738,58831,ACC21JAN1540CE,ACC,0.0,2021-01-28,1540.0,0.05,500,CE,NFO-OPT,NFO
153,15060994,58832,ACC21JAN1540PE,ACC,0.0,2021-01-28,1540.0,0.05,500,PE,NFO-OPT,NFO
154,15061250,58833,ACC21JAN1560CE,ACC,0.0,2021-01-28,1560.0,0.05,500,CE,NFO-OPT,NFO
155,15061506,58834,ACC21JAN1560PE,ACC,0.0,2021-01-28,1560.0,0.05,500,PE,NFO-OPT,NFO
156,15061762,58835,ACC21JAN1580CE,ACC,0.0,2021-01-28,1580.0,0.05,500,CE,NFO-OPT,NFO
157,15062018,58836,ACC21JAN1580PE,ACC,0.0,2021-01-28,1580.0,0.05,500,PE,NFO-OPT,NFO
158,15062274,58837,ACC21JAN1600CE,ACC,0.0,2021-01-28,1600.0,0.05,500,CE,NFO-OPT,NFO
159,15062530,58838,ACC21JAN1600PE,ACC,0.0,2021-01-28,1600.0,0.05,500,PE,NFO-OPT,NFO
160,15062786,58839,ACC21JAN1620CE,ACC,0.0,2021-01-28,1620.0,0.05,500,CE,NFO-OPT,NFO
161,15063042,58840,ACC21JAN1620PE,ACC,0.0,2021-01-28,1620.0,0.05,500,PE,NFO-OPT,NFO
162,15063298,58841,ACC21JAN1640CE,ACC,0.0,2021-01-28,1640.0,0.05,500,CE,NFO-OPT,NFO
163,15063554,58842,ACC21JAN1640PE,ACC,0.0,2021-01-28,1640.0,0.05,500,PE,NFO-OPT,NFO
164,15064322,58845,ACC21JAN1660CE,ACC,0.0,2021-01-28,1660.0,0.05,500,CE,NFO-OPT,NFO
165,15064578,58846,ACC21JAN1660PE,ACC,0.0,2021-01-28,1660.0,0.05,500,PE,NFO-OPT,NFO
166,15064834,58847,ACC21JAN1680CE,ACC,0.0,2021-01-28,1680.0,0.05,500,CE,NFO-OPT,NFO
167,15065090,58848,ACC21JAN1680PE,ACC,0.0,2021-01-28,1680.0,0.05,500,PE,NFO-OPT,NFO
168,15065346,58849,ACC21JAN1700CE,ACC,0.0,2021-01-28,1700.0,0.05,500,CE,NFO-OPT,NFO
169,15065602,58850,ACC21JAN1700PE,ACC,0.0,2021-01-28,1700.0,0.05,500,PE,NFO-OPT,NFO
170,15065858,58851,ACC21JAN1720CE,ACC,0.0,2021-01-28,1720.0,0.05,500,CE,NFO-OPT,NFO
171,15066114,58852,ACC21JAN1720PE,ACC,0.0,2021-01-28,1720.0,0.05,500,PE,NFO-OPT,NFO
172,15066370,58853,ACC21JAN1740CE,ACC,0.0,2021-01-28,1740.0,0.05,500,CE,NFO-OPT,NFO
173,15066626,58854,ACC21JAN1740PE,ACC,0.0,2021-01-28,1740.0,0.05,500,PE,NFO-OPT,NFO
174,15066882,58855,ACC21JAN1760CE,ACC,0.0,2021-01-28,1760.0,0.05,500,CE,NFO-OPT,NFO
175,15067138,58856,ACC21JAN1760PE,ACC,0.0,2021-01-28,1760.0,0.05,500,PE,NFO-OPT,NFO
176,15067394,58857,ACC21JAN1780CE,ACC,0.0,2021-01-28,1780.0,0.05,500,CE,NFO-OPT,NFO
177,15067650,58858,ACC21JAN1780PE,ACC,0.0,2021-01-28,1780.0,0.05,500,PE,NFO-OPT,NFO
178,15067906,58859,ACC21JAN1800CE,ACC,0.0,2021-01-28,1800.0,0.05,500,CE,NFO-OPT,NFO
179,15068162,58860,ACC21JAN1800PE,ACC,0.0,2021-01-28,1800.0,0.05,500,PE,NFO-OPT,NFO
180,15068418,58861,ACC21JAN1820CE,ACC,0.0,2021-01-28,1820.0,0.05,500,CE,NFO-OPT,NFO
181,15068674,58862,ACC21JAN1820PE,ACC,0.0,2021-01-28,1820.0,0.05,500,PE,NFO-OPT,NFO
182,15068930,58863,ACC21JAN1840CE,ACC,0.0,2021-01-28,1840.0,0.05,500,CE,NFO-OPT,NFO
183,15069186,58864,ACC21JAN1840PE,ACC,0.0,2021-01-28,1840.0,0.05,500,PE,NFO-OPT,NFO
184,15069442,58865,ACC21JAN1860CE,ACC,0.0,2021-01-28,1860.0,0.05,500,CE,NFO-OPT,NFO
185,15069698,58866,ACC21JAN1860PE,ACC,0.0,2021-01-28,1860.0,0.05,500,PE,NFO-OPT,NFO
186,15069954,58867,ACC21JAN1880CE,ACC,0.0,2021-01-28,1880.0,0.05,500,CE,NFO-OPT,NFO
187,15070210,58868,ACC21JAN1880PE,ACC,0.0,2021-01-28,1880.0,0.05,500,PE,NFO-OPT,NFO
188,15070466,58869,ACC21JAN1900CE,ACC,0.0,2021-01-28,1900.0,0.05,500,CE,NFO-OPT,NFO
189,15070722,58870,ACC21JAN1900PE,ACC,0.0,2021-01-28,1900.0,0.05,500,PE,NFO-OPT,NFO
190,15070978,58871,ACC21JAN1920CE,ACC,0.0,2021-01-28,1920.0,0.05,500,CE,NFO-OPT,NFO
191,15071234,58872,ACC21JAN1920PE,ACC,0.0,2021-01-28,1920.0,0.05,500,PE,NFO-OPT,NFO
192,15071490,58873,ACC21JAN1940CE,ACC,0.0,2021-01-28,1940.0,0.05,500,CE,NFO-OPT,NFO
193,15071746,58874,ACC21JAN1940PE,ACC,0.0,2021-01-28,1940.0,0.05,500,PE,NFO-OPT,NFO
194,15072002,58875,ACC21JAN1960CE,ACC,0.0,2021-01-28,1960.0,0.05,500,CE,NFO-OPT,NFO
195,15072258,58876,ACC21JAN1960PE,ACC,0.0,2021-01-28,1960.0,0.05,500,PE,NFO-OPT,NFO
196,15072514,58877,ACC21JAN1980CE,ACC,0.0,2021-01-28,1980.0,0.05,500,CE,NFO-OPT,NFO
197,15072770,58878,ACC21JAN1980PE,ACC,0.0,2021-01-28,1980.0,0.05,500,PE,NFO-OPT,NFO
198,15073026,58879,ACC21JAN2000CE,ACC,0.0,2021-01-28,2000.0,0.05,500,CE,NFO-OPT,NFO
199,15073282,58880,ACC21JAN2000PE,ACC,0.0,2021-01-28,2000.0,0.05,500,PE,NFO-OPT,NFO
200,15073538,58881,ACC21JAN2020CE,ACC,0.0,2021-01-28,2020.0,0.05,500,CE,NFO-OPT,NFO
201,15073794,58882,ACC21JAN2020PE,ACC,0.0,2021-01-28,2020.0,0.05,500,PE,NFO-OPT,NFO
202,16471042,64340,ACC21FEB1140CE,ACC,0.0,2021-02-25,1140.0,0.05,500,CE,NFO-OPT,NFO
203,16531202,64575,ACC21FEB1140PE,ACC,0.0,2021-02-25,1140.0,0.05,500,PE,NFO-OPT,NFO
204,16531458,64576,ACC21FEB1160CE,ACC,0.0,2021-02-25,1160.0,0.05,500,CE,NFO-OPT,NFO
205,16549634,64647,ACC21FEB1160PE,ACC,0.0,2021-02-25,1160.0,0.05,500,PE,NFO-OPT,NFO
206,16549890,64648,ACC21FEB1180CE,ACC,0.0,2021-02-25,1180.0,0.05,500,CE,NFO-OPT,NFO
207,16564482,64705,ACC21FEB1180PE,ACC,0.0,2021-02-25,1180.0,0.05,500,PE,NFO-OPT,NFO
208,16564738,64706,ACC21FEB1200CE,ACC,0.0,2021-02-25,1200.0,0.05,500,CE,NFO-OPT,NFO
209,16571650,64733,ACC21FEB1200PE,ACC,0.0,2021-02-25,1200.0,0.05,500,PE,NFO-OPT,NFO
210,16571906,64734,ACC21FEB1220CE,ACC,0.0,2021-02-25,1220.0,0.05,500,CE,NFO-OPT,NFO
211,16572674,64737,ACC21FEB1220PE,ACC,0.0,2021-02-25,1220.0,0.05,500,PE,NFO-OPT,NFO
212,16572930,64738,ACC21FEB1240CE,ACC,0.0,2021-02-25,1240.0,0.05,500,CE,NFO-OPT,NFO
213,16585730,64788,ACC21FEB1240PE,ACC,0.0,2021-02-25,1240.0,0.05,500,PE,NFO-OPT,NFO
214,16585986,64789,ACC21FEB1260CE,ACC,0.0,2021-02-25,1260.0,0.05,500,CE,NFO-OPT,NFO
215,16586242,64790,ACC21FEB1260PE,ACC,0.0,2021-02-25,1260.0,0.05,500,PE,NFO-OPT,NFO
216,16586498,64791,ACC21FEB1280CE,ACC,0.0,2021-02-25,1280.0,0.05,500,CE,NFO-OPT,NFO
217,16643330,65013,ACC21FEB1280PE,ACC,0.0,2021-02-25,1280.0,0.05,500,PE,NFO-OPT,NFO
218,16643586,65014,ACC21FEB1300CE,ACC,0.0,2021-02-25,1300.0,0.05,500,CE,NFO-OPT,NFO
219,16667906,65109,ACC21FEB1300PE,ACC,0.0,2021-02-25,1300.0,0.05,500,PE,NFO-OPT,NFO
220,16670210,65118,ACC21FEB1320CE,ACC,0.0,2021-02-25,1320.0,0.05,500,CE,NFO-OPT,NFO
221,16670466,65119,ACC21FEB1320PE,ACC,0.0,2021-02-25,1320.0,0.05,500,PE,NFO-OPT,NFO
222,16670722,65120,ACC21FEB1340CE,ACC,0.0,2021-02-25,1340.0,0.05,500,CE,NFO-OPT,NFO
223,16670978,65121,ACC21FEB1340PE,ACC,0.0,2021-02-25,1340.0,0.05,500,PE,NFO-OPT,NFO
